date,n_articles,sentiment_mean,sentiment_std,neg_mean,neu_mean,pos_mean
2021-02-04,5,0.9987999999999999,0.0016431676725154934,0.0198,0.8523999999999999,0.1282
2021-02-05,8,0.76675,0.4047036834877728,0.028999999999999998,0.845,0.126
2021-02-07,4,0.99,0.011547005383792509,0.0195,0.8535,0.127
2021-02-08,17,0.49441176470588233,0.8046339275427934,0.03235294117647059,0.8842941176470588,0.08329411764705882
2021-02-09,6,0.3016666666666667,0.7152704849682158,0.07666666666666667,0.8686666666666666,0.05466666666666666
2021-02-10,9,0.8654444444444445,0.32630358223252437,0.029333333333333336,0.8741111111111111,0.09677777777777778
2021-02-11,9,0.9970000000000001,0.004358898943540657,0.015888888888888886,0.8796666666666666,0.10422222222222222
2021-02-12,1,0.982,,0.081,0.809,0.111
2021-02-13,4,0.74175,0.4947446310977008,0.018500000000000003,0.8534999999999999,0.128
2021-02-14,2,1.0,0.0,0.024,0.853,0.123
2021-02-15,2,0.2335,0.779938779648762,0.023,0.9025000000000001,0.0745
2021-02-16,2,0.7665,0.12091525958289955,0.0,0.8394999999999999,0.16049999999999998
2021-02-17,10,0.8567,0.3146211301797061,0.0337,0.8617000000000001,0.10500000000000001
2021-02-18,11,0.17609090909090908,0.9253583581019252,0.06572727272727273,0.8694545454545455,0.065
2021-02-19,13,0.06715384615384615,0.6451199948012056,0.034076923076923074,0.8981538461538462,0.06807692307692308
2021-02-20,5,0.7333999999999999,0.26074470272663264,0.0072,0.8548,0.138
2021-02-21,1,0.723,,0.0,0.76,0.24
2021-02-22,10,0.4157,0.5345390641581876,0.0382,0.8779999999999999,0.0838
2021-02-23,8,0.27137500000000003,0.7825255700979635,0.118875,0.791125,0.089875
2021-02-24,5,0.4972,0.4980032128410418,0.013600000000000001,0.9470000000000001,0.039400000000000004
2021-02-25,10,0.7091000000000001,0.5530520268875654,0.046099999999999995,0.8361000000000001,0.1179
2021-02-26,18,0.5993888888888889,0.6979690823161733,0.04133333333333333,0.8431666666666666,0.11527777777777778
2021-02-27,3,0.6056666666666667,0.5322727997308648,0.009666666666666667,0.871,0.119
2021-03-01,8,0.782125,0.3582877684208603,0.009375,0.810875,0.17975
2021-03-02,14,0.8126428571428572,0.4376951181856116,0.047142857142857146,0.8618571428571429,0.09092857142857143
2021-03-03,5,0.15919999999999998,0.618889085377986,0.097,0.7614,0.1416
2021-03-04,13,0.8261538461538461,0.35594237505384824,0.03492307692307692,0.8521538461538462,0.11307692307692307
2021-03-05,18,0.7296666666666667,0.36709992228435084,0.030111111111111113,0.8579444444444444,0.11183333333333333
2021-03-06,2,0.277,1.0139911242215092,0.10200000000000001,0.806,0.092
2021-03-07,2,0.87,0.13859292911256327,0.0115,0.8155,0.173
2021-03-08,12,0.4795,0.488333809080335,0.030833333333333334,0.87475,0.09441666666666666
